
(0) Date, (1) Northern_Hemisphere, (2) Beaufort_Sea, (3) Chukchi_Sea, (4) East_Siberian_Sea, (5) Laptev_Sea, (6) Kara_Sea, (7) Barents_Sea, (8) Greenland_Sea, (9) Baffin_Bay_Gulf_of_St._Lawrence, (10) Canadian_Archipelago, (11) Hudson_Bay, (12) Central_Arctic, (13) Bering_Sea, (14) Baltic_Sea, (15) Sea_of_Okhotsk, (16) Yellow_Sea, (17) Cook_Inlet
 2010153,11383502.09, 1012208.07,  884043.82, 1075117.22,  816050.54,  817024.98,  248536.41,  515809.19,  714624.01,  786436.47, 1028293.30, 3215753.28,  149815.10,       0.00,  118627.85,       0.00,       0.00
 2010154,11370678.00, 1009999.68,  897061.33, 1075863.58,  814655.88,  847853.87,  233285.07,  536596.93,  723433.58,  788881.02, 1041648.36, 3216408.52,   87198.58,       0.00,   96629.76,       0.00,       0.00
 2010155,11341657.16, 1001776.96,  894054.96, 1076372.68,  814862.74,  859816.11,  220997.87,  542073.67,  733244.36,  788431.84, 1040611.74, 3216185.18,   65952.68,       0.00,   86114.54,       0.00,       0.00
 2010156,11281462.45,  994503.48,  883870.19, 1070414.67,  812583.98,  854130.59,  218553.45,  537385.88,  726415.64,  785357.06, 1030336.86, 3215277.26,   65357.01,       0.00,   86114.54,       0.00,       0.00
 2010157,11250840.66,  993673.06,  883798.51, 1067186.66,  804610.51,  847064.45,  218553.45,  533791.00,  729359.00,  784904.35, 1020400.67, 3215277.26,   64945.38,       0.00,   86114.54,       0.00,       0.00
 2010158,11191442.56,  969521.27,  863563.60, 1071196.39,  804268.40,  845117.94,  218553.45,  535005.66,  732753.99,  778627.30, 1010216.82, 3215277.26,   65053.01,       0.00,   81125.65,       0.00,       0.00
 2010159,11138009.73,  958386.54,  854091.66, 1069672.47,  804502.19,  786732.20,  206742.35,  566049.84,  731107.19,  770033.38, 1019295.68, 3223383.30,   64289.60,       0.00,   82561.50,       0.00,       0.00
 2010160,10922258.36,  952312.83,  853252.06, 1065824.50,  805000.15,  767681.22,  168580.53,  545481.74,  701352.47,  767489.84,  952868.75, 3205871.71,   59708.26,       0.00,   75672.45,       0.00,       0.00
 2010161,10998762.00,  947482.56,  853219.78, 1067103.83,  805000.15,  770469.48,  187554.60,  562609.81,  712820.15,  771175.61,  997521.13, 3220359.58,   32053.87,       0.00,   70229.61,       0.00,       0.00
 2010162,10921629.17,  953675.77,  855792.24, 1070689.44,  804590.94,  745655.40,  165863.05,  565299.15,  710923.43,  771545.67,  974742.07, 3216840.85,   21400.04,       0.00,   63449.29,       0.00,       0.00
 2010163,10802389.73,  947177.32,  848875.84, 1068027.93,  797720.80,  738580.84,  164759.64,  556997.45,  698090.86,  772074.59,  915384.28, 3213844.34,   21467.20,       0.00,   58226.80,       0.00,       0.00
 2010164,10766075.44,  942875.84,  848875.84, 1069525.20,  788118.77,  739500.92,  158671.01,  551577.52,  702020.00,  770357.16,  907762.73, 3207523.37,   21317.30,       0.00,   56787.96,       0.00,       0.00
 2010165,10660384.61,  940469.00,  840652.01, 1068687.75,  787053.43,  725997.94,  144968.79,  538475.13,  681778.65,  771407.59,  882646.66, 3206071.97,   21317.30,       0.00,   49696.54,       0.00,       0.00
 2010166,10534076.98,  933193.52,  839873.00, 1068901.35,  772185.06,  717539.23,  138263.50,  524612.42,  667457.06,  766642.20,  826781.00, 3206452.96,   21317.30,       0.00,   49696.54,       0.00,       0.00
 2010167,10324144.79,  934156.37,  822020.92, 1068901.35,  759866.69,  716495.52,  129475.73,  492331.52,  597238.25,  764643.74,  766932.07, 3199906.96,   21317.30,       0.00,   49696.54,       0.00,       0.00
 2010168,10442434.87,  931507.37,  826941.81, 1071307.08,  746441.27,  750252.91,  138697.95,  551436.85,  607851.51,  761306.34,  781062.10, 3212819.41,   12319.71,       0.00,   49328.74,       0.00,       0.00
 2010169,10316089.09,  922168.51,  810823.41, 1070357.15,  733765.35,  747805.77,  135321.33,  546600.23,  602340.52,  760707.83,  745494.83, 3209564.78,    6748.51,       0.00,   23229.03,       0.00,       0.00
 2010170,10216450.73,  914463.80,  804082.31, 1067924.64,  725057.16,  729064.45,  124613.04,  552140.16,  566819.05,  761225.56,  737784.52, 3208800.76,    4210.71,       0.00,   19102.74,       0.00,       0.00
 2010171,10187673.49,  917414.99,  795791.17, 1063156.87,  712090.21,  721397.13,  125497.48,  553932.27,  565288.42,  761749.94,  729777.56, 3207390.49,    2716.78,       0.00,   30326.50,       0.00,       0.00
 2010172,10116796.42,  910107.35,  781439.56, 1063156.87,  712090.21,  708990.67,  121088.95,  541876.48,  557589.11,  760060.74,  723226.27, 3202983.25,    2716.78,       0.00,   30326.50,       0.00,       0.00
 2010173, 9976826.56,  902110.08,  774570.15, 1062718.56,  706654.04,  687477.01,  112552.49,  533311.10,  522502.57,  757937.36,  697413.82, 3191853.80,    2716.78,       0.00,   23865.12,       0.00,       0.00
 2010174, 9847400.12,  890153.64,  769547.43, 1050529.95,  704338.57,  666140.50,  119153.06,  496614.87,  500707.58,  754943.95,  675348.35, 3193787.83,    2716.78,       0.00,   22273.95,       0.00,       0.00
 2010175, 9813445.94,  894619.61,  756097.23, 1044485.76,  703434.00,  672989.39,  108411.49,  503679.64,  491341.32,  750104.22,  668797.36, 3194023.81,    2044.50,       0.00,   22273.95,       0.00,       0.00
 2010176, 9825265.75,  894761.11,  743540.96, 1043290.97,  704633.31,  674312.96,  109115.19,  525867.50,  490636.35,  749520.09,  668797.36, 3196513.33,    2329.64,       0.00,   20803.32,       0.00,       0.00
 2010177, 9698793.45,  878576.32,  734641.27, 1045088.39,  703176.12,  650672.68,   91046.50,  534550.22,  451644.69,  749248.14,  637110.04, 3191146.31,    2097.38,       0.00,   28633.56,       0.00,       0.00
 2010178, 9583652.98,  873967.28,  708641.38, 1044393.80,  699142.00,  642464.70,   91434.22,  542395.50,  450434.99,  748468.28,  555599.02, 3192238.78,    1392.01,       0.00,   31919.17,       0.00,       0.00
 2010179, 9469409.98,  870021.88,  707536.83, 1042313.52,  697408.53,  642337.01,   88121.10,  540049.34,  437471.55,  742494.26,  481192.24, 3191099.80,    1392.01,       0.00,   26810.05,       0.00,       0.00
 2010180, 9335550.75,  865801.67,  706247.38, 1042456.69,  693899.74,  639212.43,   84849.08,  473589.91,  424147.98,  734471.39,  450887.24, 3191245.44,     769.92,       0.00,   26810.05,       0.00,       0.00
 2010182, 9155833.71,  856356.25,  704465.85, 1037749.69,  693166.50,  608400.55,   80594.23,  455207.13,  409492.16,  736827.53,  352835.80, 3192603.03,     417.19,       0.00,   26555.96,       0.00,       0.00
 2010183, 9023373.47,  847292.94,  704972.54, 1037818.46,  688169.66,  583075.58,   81977.67,  465688.92,  402939.60,  737818.75,  257851.98, 3192876.72,      15.67,       0.00,   21713.14,       0.00,       0.00
 2010184, 8938622.07,  838147.71,  694278.44, 1034732.04,  685651.88,  571378.50,   81041.20,  432460.56,  397426.23,  737960.94,  247689.45, 3194964.48,      15.67,       0.00,   21713.14,       0.00,       0.00
 2010185, 8867860.71,  826276.74,  690349.33, 1031757.50,  683052.87,  555092.96,   80609.45,  423031.21,  380134.61,  736155.96,  243126.96, 3195382.47,      15.67,       0.00,   21713.14,       0.00,       0.00
 2010186, 8794896.59,  821188.34,  685903.86, 1027557.49,  681765.98,  545202.87,   75801.62,  404507.72,  362237.87,  733519.78,  239883.76, 3194436.65,      15.67,       0.00,   21713.14,       0.00,       0.00
 2010187, 8746565.84,  821342.51,  690608.77, 1028457.10,  673919.94,  533553.73,   72803.49,  387888.37,  359864.95,  730908.99,  232348.92, 3193562.00,      15.67,       0.00,   20129.56,       0.00,       0.00
 2010188, 8655266.12,  819496.46,  679160.80, 1020185.78,  668497.77,  521185.42,   72098.96,  360698.71,  363165.03,  723328.58,  216306.79, 3189834.75,      15.67,       0.00,   20129.56,       0.00,       0.00
 2010189, 8663202.80,  823045.15,  688731.29, 1032241.03,  674775.17,  504804.72,   67773.16,  354123.37,  369365.26,  723132.78,  210755.88, 3196773.48,      15.67,       0.00,   16504.00,       0.00,       0.00
 2010190, 8635987.95,  820641.79,  699307.44, 1033808.01,  678690.85,  509529.58,   60770.43,  342636.33,  365928.55,  723854.61,  189899.67, 3195689.19,      15.67,       0.00,   14054.00,       0.00,       0.00
 2010191, 8531336.75,  827006.66,  688168.52, 1017602.62,  669500.19,  482884.90,   55613.04,  341529.86,  360159.35,  705443.51,  185735.82, 3191261.18,      15.67,       0.00,    5398.41,       0.00,       0.00
 2010192, 8456172.34,  820545.81,  681810.49, 1020816.59,  661513.74,  458854.43,   47482.69,  340877.72,  349363.54,  700638.98,  186383.94, 3181453.30,      15.67,       0.00,    5398.41,       0.00,       0.00
 2010193, 8408982.81,  821057.18,  682410.27, 1020421.94,  660470.75,  444251.06,   44921.26,  337139.13,  339349.34,  690594.97,  180753.61, 3181182.20,      15.67,       0.00,    5398.41,       0.00,       0.00
 2010194, 8348579.30,  817399.38,  677529.31, 1017960.81,  652267.78,  434982.94,   44253.59,  334941.13,  327972.90,  681305.84,  173639.84, 3179894.67,      15.67,       0.00,    5398.41,       0.00,       0.00
 2010195, 8327153.18,  815009.20,  676806.07, 1019112.56,  652915.61,  437237.25,   34552.25,  349923.28,  324791.87,  680786.39,  161047.98, 3169380.99,      15.67,       0.00,    4557.04,       0.00,       0.00
 2010196, 8218111.52,  817275.27,  672507.37, 1017414.41,  649563.99,  427130.19,   29397.84,  329776.21,  309374.27,  668521.28,  131835.09, 3159725.85,      15.67,       0.00,    4557.04,       0.00,       0.00
 2010197, 8251825.38,  828258.30,  689102.24, 1032581.86,  643501.63,  409381.40,   30459.48,  337103.17,  310731.66,  668329.27,  136446.86, 3160339.78,      15.67,       0.00,    4557.04,       0.00,       0.00
 2010198, 8167863.42,  827255.47,  679732.47, 1025868.65,  641131.20,  380505.13,   28681.36,  334654.55,  276780.87,  671853.15,  132242.45, 3163568.39,      15.67,       0.00,    4557.04,       0.00,       0.00
 2010199, 8083893.03,  823995.89,  677983.01, 1025517.70,  624065.15,  364451.33,   28469.09,  323782.12,  250411.17,  677289.03,  127110.80, 3159700.87,      99.85,       0.00,       0.00,       0.00,       0.00
 2010200, 7956455.25,  818738.27,  666714.15, 1027344.63,  597320.74,  341020.61,   21298.42,  320021.93,  239029.67,  662445.72,  106320.20, 3155183.88,       0.00,       0.00,       0.00,       0.00,       0.00
 2010201, 7856624.49,  818876.89,  672334.25, 1022394.18,  564895.07,  316246.53,   17619.28,  319609.95,  209681.74,  658898.24,  105584.52, 3149466.83,       0.00,       0.00,       0.00,       0.00,       0.00
 2010202, 7709147.45,  816382.73,  671143.62,  967843.60,  548755.42,  311198.72,   17689.72,  295249.87,  185088.53,  652180.64,   91511.17, 3151086.40,       0.00,       0.00,       0.00,       0.00,       0.00
 2010203, 7729114.46,  825774.59,  664248.20,  964934.69,  547608.74,  322819.49,   17654.44,  291723.22,  196428.80,  653354.00,   93261.79, 3150289.48,       0.00,       0.00,       0.00,       0.00,       0.00
 2010204, 7661275.77,  830835.73,  644673.05,  975282.17,  542821.98,  308440.88,    9042.33,  289125.46,  191506.38,  630059.37,   93466.99, 3144972.10,      50.47,       0.00,       0.00,       0.00,       0.00
 2010205, 7567146.65,  820460.98,  642726.80,  969360.36,  539742.11,  285453.31,    8374.85,  284459.65,  177973.06,  610182.13,   84446.28, 3142917.80,      50.47,       0.00,       0.00,       0.00,       0.00
 2010206, 7456926.32,  814940.20,  642767.36,  964192.52,  521282.07,  246717.58,    8374.85,  280480.66,  169576.84,  592986.15,   80928.28, 3133630.48,      50.47,       0.00,       0.00,       0.00,       0.00
 2010207, 7363104.80,  809729.11,  637702.57,  946029.46,  512424.52,  233586.05,    5669.71,  279723.76,  161009.94,  564154.45,   78528.22, 3133413.48,     134.69,       0.00,       0.00,       0.00,       0.00
 2010208, 7261469.32,  804943.99,  632749.39,  935032.56,  483701.07,  207070.20,    4838.45,  274980.66,  149573.50,  556578.90,   77235.57, 3133631.49,     134.69,       0.00,       0.00,       0.00,       0.00
 2010209, 7115713.00,  798060.80,  624892.62,  895113.79,  447802.39,  195921.89,    3378.71,  273216.24,  132651.65,  534598.03,   71623.26, 3137320.07,     134.69,       0.00,       0.00,       0.00,       0.00
 2010210, 7034322.55,  787574.09,  615753.25,  883797.36,  430349.13,  148680.44,     904.66,  283281.47,  138562.22,  530008.16,   65651.11, 3148761.80,       0.00,       0.00,       0.00,       0.00,       0.00
 2010211, 7006718.53,  780610.26,  618540.38,  874859.56,  422413.31,  164267.61,     851.63,  278128.94,  133286.40,  513644.48,   61268.71, 3157866.57,       0.00,       0.00,       0.00,       0.00,       0.00
 2010212, 7004379.16,  785461.91,  618279.50,  858754.09,  418431.83,  170395.99,     851.63,  280831.86,  134905.11,  515273.58,   62710.28, 3157502.71,       0.00,       0.00,       0.00,       0.00,       0.00
 2010213, 6829709.98,  757285.05,  577580.75,  769333.52,  410299.18,  159512.51,    1377.56,  283378.73,  136770.54,  508836.95,   60038.76, 3164315.76,       0.00,       0.00,       0.00,       0.00,       0.00
 2010214, 6800520.42,  767649.82,  577580.75,  764783.37,  405427.18,  152256.00,    2411.24,  262656.36,  134791.59,  508467.58,   58600.80, 3164915.07,       0.00,       0.00,       0.00,       0.00,       0.00
 2010215, 6747082.86,  765203.71,  577580.75,  756412.28,  394945.32,  139007.07,    2683.24,  253312.36,  128660.13,  502006.70,   58649.37, 3167641.24,       0.00,       0.00,       0.00,       0.00,       0.00
 2010216, 6600268.59,  761586.55,  565057.79,  741103.71,  392281.41,   98323.50,    3825.73,  200244.05,  120905.20,  486935.93,   56935.92, 3172215.06,       0.00,       0.00,       0.00,       0.00,       0.00
 2010217, 6516709.56,  754596.48,  527002.26,  729266.56,  367998.19,   98454.67,    3825.73,  209273.20,  110938.87,  478759.18,   54504.99, 3181235.65,       0.00,       0.00,       0.00,       0.00,       0.00
 2010218, 6402195.83,  737308.02,  505198.01,  711752.42,  367443.04,   90325.76,    4715.42,  197552.16,   99416.77,  458829.68,   53378.75, 3175422.03,       0.00,       0.00,       0.00,       0.00,       0.00
 2010219, 6426340.17,  754031.07,  485014.70,  743222.37,  380793.50,   95597.36,    4715.42,  195278.21,   79160.69,  461174.10,   48497.70, 3178001.29,       0.00,       0.00,       0.00,       0.00,       0.00
 2010220, 6427624.15,  764392.89,  485702.86,  761574.07,  377032.44,   86636.39,    4624.69,  194749.20,   67576.17,  458873.54,   56565.96, 3169042.20,       0.00,       0.00,       0.00,       0.00,       0.00
 2010221, 6326294.13,  765526.73,  478799.00,  747762.65,  369629.55,   79774.97,    3699.76,  176966.67,   58869.31,  438862.53,   41153.97, 3164413.33,       0.00,       0.00,       0.00,       0.00,       0.00
 2010222, 6180847.91,  751842.68,  459540.46,  726696.36,  365629.41,   59596.18,    4098.57,  148827.29,   50557.86,  412866.86,   37812.86, 3162543.72,       0.00,       0.00,       0.00,       0.00,       0.00
 2010223, 6074682.31,  746853.42,  458380.00,  717687.67,  357421.65,   59752.54,    2121.25,  132081.95,   44842.96,  371691.70,   34230.09, 3148874.12,       0.00,       0.00,       0.00,       0.00,       0.00
 2010224, 6043222.41,  743934.03,  428333.02,  729206.64,  353856.01,   62426.35,    2683.72,  133778.75,   36942.62,  369466.99,   32024.79, 3149824.52,       0.00,       0.00,       0.00,       0.00,       0.00
 2010225, 5980208.16,  742552.80,  423531.70,  727434.10,  331631.05,   59143.30,    3337.01,  131843.60,   21417.55,  355345.27,   30714.36, 3152512.45,       0.00,       0.00,       0.00,       0.00,       0.00
 2010226, 5940485.68,  738805.42,  423687.70,  721394.02,  324573.18,   54884.60,    3101.24,  126907.49,   20858.29,  348679.47,   27514.48, 3149334.84,       0.00,       0.00,       0.00,       0.00,       0.00
 2010227, 5905257.29,  735232.98,  417354.96,  720490.63,  321631.03,   49004.97,    3101.24,  123094.07,   19772.73,  340449.48,   26115.13, 3148265.10,       0.00,       0.00,       0.00,       0.00,       0.00
 2010228, 5839599.99,  721219.77,  417354.96,  711890.39,  313721.36,   42873.76,    2594.18,  117734.20,   19214.12,  320297.84,   25158.01, 3146796.43,       0.00,       0.00,       0.00,       0.00,       0.00
 2010229, 5801122.55,  707650.16,  414266.86,  710359.14,  309804.33,   39880.21,    2594.18,  117155.64,   19131.30,  308685.85,   23128.69, 3147721.21,       0.00,       0.00,       0.00,       0.00,       0.00
 2010230, 5659879.47,  689305.61,  387998.35,  700903.48,  307474.62,   28602.21,    1342.57,  111060.20,   20710.91,  265439.44,   23128.69, 3123168.42,       0.00,       0.00,       0.00,       0.00,       0.00
 2010231, 5687798.04,  684323.22,  386984.35,  698869.28,  304654.85,   24537.22,       0.00,  140094.24,   22606.59,  281564.47,   23046.01, 3120372.85,       0.00,       0.00,       0.00,       0.00,       0.00
 2010232, 5701892.25,  679659.72,  384782.83,  711132.16,  310928.23,   27804.83,       0.00,  151728.07,   24249.00,  274443.76,   15948.81, 3120451.70,       0.00,       0.00,       0.00,       0.00,       0.00
 2010233, 5651485.51,  679490.47,  386491.29,  717327.39,  309942.79,   22889.00,       0.00,  133908.12,   16075.02,  261782.18,   11693.71, 3111122.41,       0.00,       0.00,       0.00,       0.00,       0.00
 2010234, 5560092.06,  678720.21,  379977.26,  695878.49,  292861.30,   12266.20,      90.68,  126984.03,   12799.51,  239052.24,    6404.87, 3114294.14,       0.00,       0.00,       0.00,       0.00,       0.00
 2010235, 5519624.34,  676984.17,  365646.50,  681271.02,  284176.21,   10553.29,      90.68,  131427.08,   12769.41,  238111.20,    6404.87, 3111426.76,       0.00,       0.00,       0.00,       0.00,       0.00
 2010236, 5492771.76,  674541.96,  353892.87,  679465.01,  277229.05,   10553.29,     163.23,  130323.65,   12575.17,  237066.84,    6404.87, 3109792.67,       0.00,       0.00,       0.00,       0.00,       0.00
 2010237, 5434302.12,  654898.94,  338691.40,  656891.26,  277156.48,   10553.29,      36.26,  126196.97,   15329.06,  240729.29,    6404.87, 3106651.17,       0.00,       0.00,       0.00,       0.00,       0.00
 2010238, 5487392.73,  676819.99,  338443.04,  651407.40,  268805.76,   10553.29,     344.63,  153461.95,   26584.00,  242815.42,    5175.80, 3112218.32,       0.00,       0.00,       0.00,       0.00,       0.00
 2010239, 5452170.92,  676043.98,  313013.87,  610736.14,  267062.01,    8533.89,    1414.27,  170441.28,   26559.44,  250360.20,    5175.80, 3122066.89,       0.00,       0.00,       0.00,       0.00,       0.00
 2010240, 5385094.61,  673031.31,  309368.10,  576093.42,  256942.26,    8100.67,    2211.68,  156927.71,   21394.28,  267610.93,    2225.45, 3110425.65,       0.00,       0.00,       0.00,       0.00,       0.00
 2010241, 5363242.03,  674159.82,  301400.56,  561303.19,  258715.84,    7287.84,    3951.18,  160028.46,   19598.33,  255151.75,    1575.88, 3119306.05,       0.00,       0.00,       0.00,       0.00,       0.00
 2010242, 5408749.09,  675640.48,  302256.49,  559837.96,  267227.50,    8640.82,    7846.71,  169044.75,   21137.99,  253206.82,    1575.88, 3141570.57,       0.00,       0.00,       0.00,       0.00,       0.00
 2010243, 5416354.37,  676113.01,  287170.52,  574027.74,  267009.67,    7756.21,    7846.71,  169775.43,   22526.06,  257397.76,    2578.18, 3143408.10,       0.00,       0.00,       0.00,       0.00,       0.00
 2010244, 5334962.88,  673562.52,  282188.36,  524163.99,  254938.26,    6764.29,    7846.71,  162118.25,   20152.97,  261019.30,    1053.65, 3140391.45,       0.00,       0.00,       0.00,       0.00,       0.00
 2010245, 5337346.74,  673565.39,  281024.29,  531735.02,  247876.17,    4617.14,    9152.85,  168066.87,   19758.31,  260172.40,    1053.65, 3139561.53,       0.00,       0.00,       0.00,       0.00,       0.00
 2010246, 5335869.08,  685492.01,  281104.16,  522090.04,  240835.26,    4239.43,   14816.96,  162961.76,   20261.99,  258475.43,     217.35, 3144611.56,       0.00,       0.00,       0.00,       0.00,       0.00
 2010247, 5265455.21,  665745.52,  279444.44,  520047.66,  225092.91,    4330.31,   14816.96,  150441.79,   20261.99,  242915.42,     217.35, 3141377.72,       0.00,       0.00,       0.00,       0.00,       0.00
 2010248, 5161481.02,  636026.30,  239950.99,  508210.29,  215759.42,    2348.66,   14816.96,  146652.68,   18725.60,  237086.39,     217.35, 3140923.25,       0.00,       0.00,       0.00,       0.00,       0.00
 2010249, 5100098.95,  604445.14,  229170.80,  493918.23,  216453.89,    1664.00,   16807.10,  146250.30,   14625.91,  238414.60,     217.35, 3137386.67,       0.00,       0.00,       0.00,       0.00,       0.00
 2010250, 5041274.84,  586256.57,  219232.14,  487879.36,  208211.18,    3589.32,   18870.52,  146250.30,   14569.98,  219991.31,     217.35, 3135461.85,       0.00,       0.00,       0.00,       0.00,       0.00
 2010251, 4988520.12,  575747.51,  217434.78,  475157.64,  206306.83,    3589.32,   18870.52,  139736.10,   15954.56,  224727.50,     217.35, 3110033.03,       0.00,       0.00,       0.00,       0.00,       0.00
 2010252, 4981639.20,  541675.42,  213572.28,  469213.31,  214523.90,    6021.69,   29093.32,  142483.28,   19542.35,  221749.59,     189.84, 3122829.25,       0.00,       0.00,       0.00,       0.00,       0.00
 2010253, 5024041.39,  544971.37,  204901.08,  471929.68,  204587.92,    7830.57,   33903.74,  172459.28,   20900.89,  233791.63,     189.84, 3127830.41,       0.00,       0.00,       0.00,       0.00,       0.00
 2010254, 5039645.03,  537408.33,  201501.93,  451396.76,  208123.82,   12824.44,   39658.14,  179730.87,   22203.46,  245542.01,     189.84, 3140266.16,       0.00,       0.00,       0.00,       0.00,       0.00
 2010255, 5100536.45,  545499.52,  207044.01,  463781.72,  214888.42,   20764.37,   44842.69,  176780.93,   24366.01,  255405.10,     189.84, 3146138.24,       0.00,       0.00,       0.00,       0.00,       0.00
 2010256, 5066930.91,  544543.59,  199586.68,  439277.89,  208251.27,   23896.46,   49535.08,  172268.28,   26059.15,  249956.61,       0.00, 3152720.28,       0.00,       0.00,       0.00,       0.00,       0.00
 2010257, 4996302.27,  507718.51,  189438.55,  440568.50,  200148.93,   22494.82,   49463.05,  162580.69,   25904.33,  244447.68,       0.00, 3152701.58,       0.00,       0.00,       0.00,       0.00,       0.00
 2010258, 4958283.87,  509479.52,  187560.95,  428434.95,  194551.35,   22070.02,   50694.42,  157023.71,   28246.10,  231592.12,       0.00, 3147795.13,       0.00,       0.00,       0.00,       0.00,       0.00
 2010259, 4923029.83,  507968.94,  153326.98,  411606.14,  194551.35,   22070.02,   50694.42,  161692.15,   33378.74,  238596.23,       0.00, 3148309.25,       0.00,       0.00,       0.00,       0.00,       0.00
 2010260, 4909306.78,  512761.87,  153326.98,  410063.81,  167647.76,   25939.83,   41539.50,  169638.31,   32954.60,  236610.02,       0.00, 3157897.80,       0.00,       0.00,       0.00,       0.00,       0.00
 2010261, 4841422.87,  511275.44,  136209.01,  412012.62,  170958.79,   21994.08,   35027.37,  156259.95,   33055.37,  226466.23,       0.00, 3137237.72,       0.00,       0.00,       0.00,       0.00,       0.00
 2010262, 4821244.15,  506989.34,  126691.83,  398859.79,  162672.64,   25807.78,   31593.60,  157733.91,   35526.58,  234686.00,       0.00, 3139756.39,       0.00,       0.00,       0.00,       0.00,       0.00
 2010263, 4721849.28,  496629.75,   66288.24,  360213.39,  160020.94,   30064.15,   32426.37,  164142.89,   38232.62,  237444.11,       0.00, 3135460.53,       0.00,       0.00,       0.00,       0.00,       0.00
 2010264, 4734525.23,  497362.43,   58423.99,  351075.79,  168909.16,   36766.51,   32426.37,  165323.43,   40931.67,  243665.89,       0.00, 3138713.69,       0.00,       0.00,       0.00,       0.00,       0.00
 2010265, 4719094.97,  495751.43,   55076.64,  349020.24,  168909.16,   36766.51,   31628.01,  163675.79,   38893.95,  240949.46,       0.00, 3137660.58,       0.00,       0.00,       0.00,       0.00,       0.00
 2010266, 4716943.60,  499376.22,   46389.04,  357092.80,  167467.76,   38546.28,   25949.21,  170999.59,   36719.89,  233742.16,       0.00, 3139897.45,       0.00,       0.00,       0.00,       0.00,       0.00
 2010267, 4743581.76,  504187.60,   54422.62,  368141.39,  170859.32,   36749.46,   24011.25,  179892.79,   36008.54,  230988.39,       0.00, 3137557.20,       0.00,       0.00,       0.00,       0.00,       0.00
 2010268, 4728124.13,  500102.41,   54655.55,  374010.59,  173524.14,   31650.57,   21675.64,  186205.34,   32262.14,  221679.43,       0.00, 3131595.11,       0.00,       0.00,       0.00,       0.00,       0.00
 2010269, 4837296.57,  503309.57,  125469.51,  383160.35,  184442.07,   28147.30,   21078.56,  186205.34,   32262.14,  222202.02,       0.00, 3150256.50,       0.00,       0.00,       0.00,       0.00,       0.00
 2010270, 4948504.77,  517582.41,  153636.61,  406356.23,  192758.73,   27566.26,   19159.72,  213038.13,   30832.58,  225796.41,       0.00, 3161014.49,       0.00,       0.00,       0.00,       0.00,       0.00
 2010271, 5040628.30,  537948.02,  170913.14,  420998.17,  202046.35,   26149.65,   18670.79,  213038.13,   33567.45,  261024.84,       0.00, 3155508.55,       0.00,       0.00,       0.00,       0.00,       0.00
 2010272, 5199916.15,  576988.68,  190644.78,  427302.47,  245001.83,   27279.14,   28105.69,  221336.02,   33567.45,  291840.87,       0.00, 3157086.02,       0.00,       0.00,       0.00,       0.00,       0.00
 2010273, 5280551.89,  600558.53,  193998.41,  439132.86,  249951.54,   25626.22,   25173.84,  230655.79,   38881.27,  316684.72,       0.00, 3159125.50,       0.00,       0.00,       0.00,       0.00,       0.00
 2010274, 5277664.15,  614911.66,  193472.21,  442953.20,  236426.67,   24593.32,   16390.94,  230817.35,   45405.00,  318449.36,       0.00, 3153481.24,       0.00,       0.00,       0.00,       0.00,       0.00
 2010275, 5452785.26,  625585.96,  212110.47,  480217.04,  258611.48,   44582.27,   21877.41,  240091.85,   63387.23,  339788.75,       0.00, 3165769.60,       0.00,       0.00,       0.00,       0.00,       0.00
 2010276, 5545787.13,  640070.53,  218414.81,  482539.11,  287643.65,   54349.34,   20882.65,  260492.67,   66926.98,  338200.40,       0.00, 3175503.77,       0.00,       0.00,       0.00,       0.00,       0.00
 2010277, 5671014.39,  672327.27,  229948.02,  485580.13,  287637.28,   97428.17,   20755.71,  261210.37,   70283.96,  374093.17,       0.00, 3170588.48,       0.00,       0.00,       0.00,       0.00,       0.00
 2010278, 5681390.78,  670436.51,  234953.94,  483236.13,  284463.20,  114969.39,   20755.71,  260330.18,   70937.67,  368905.07,       0.00, 3171241.16,       0.00,       0.00,       0.00,       0.00,       0.00
 2010279, 5705775.46,  679026.22,  239048.27,  474122.30,  299032.68,  124193.84,   23039.23,  258812.24,   69935.65,  376305.97,       0.00, 3161097.24,       0.00,       0.00,       0.00,       0.00,       0.00
 2010280, 5762505.95,  688431.21,  245990.60,  465049.84,  300182.88,  120748.39,   21443.54,  251089.85,   64092.61,  455641.54,       0.00, 3148673.65,       0.00,       0.00,       0.00,       0.00,       0.00
 2010281, 5806609.90,  693764.47,  254405.10,  491591.78,  302457.80,  120748.39,   21443.54,  241183.86,   63084.40,  463432.15,       0.00, 3153336.57,       0.00,       0.00,       0.00,       0.00,       0.00
 2010282, 6003343.72,  724380.43,  276867.81,  503476.04,  314699.34,  157639.96,   26582.78,  266719.24,   69403.63,  503310.15,     381.57, 3158720.94,       0.00,       0.00,       0.00,       0.00,       0.00
 2010283, 6097384.75,  725802.23,  276512.82,  535245.53,  325942.76,  160667.28,   28917.07,  287382.54,   71620.44,  525029.72,     381.57, 3158720.94,       0.00,       0.00,       0.00,       0.00,       0.00
 2010284, 6377051.74,  754403.69,  303362.38,  572381.44,  366616.07,  185168.46,   25471.68,  294389.64,   92868.14,  624455.39,    1089.36, 3155683.67,       0.00,       0.00,       0.00,       0.00,       0.00
